frame 0
343	21	6
344	22	6
278	140	9
278	139	9
251	148	6
252	150	6
232	155	7
233	156	7
346	170	6
346	171	6
320	175	14
320	175	14
364	260	6
-2147483648	-2147483648	-2147483648
132	271	4
132	272	4
356	344	12
354	351	12
345	346	13
350	353	13
421	355	9
423	355	9
348	351	10
347	355	10
425	352	10
424	353	9
355	351	14
354	352	13
346	357	11
345	356	11
227	362	5
227	363	5
334	360	13
334	361	13
251	363	6
-2147483648	-2147483648	-2147483648
339	361	19
338	362	19
266	370	7
266	371	7
324	370	13
330	367	12
257	97	17
251	93	17
382	274	18
382	275	18
366	281	15
366	282	15
321	371	16
329	368	15
401	305	21
402	306	21
367	318	20
366	318	20
118	241	18
-2147483648	-2147483648	-2147483648
146	279	20
147	279	19
347	348	17
352	351	16
256	148	7
253	150	6
330	368	14
331	367	14
338	366	20
338	364	20
316	371	15
328	368	14
frame 1
344	22	7
345	22	6
278	138	9
277	139	9
252	150	7
252	151	7
233	155	7
235	154	6
346	170	8
347	170	8
320	175	14
319	174	14
132	272	4
132	272	4
421	355	9
422	355	9
425	352	10
424	354	10
355	351	14
354	351	14
344	356	11
344	354	10
227	363	4
227	362	4
334	360	13
334	361	13
338	360	18
337	362	18
266	370	7
266	371	7
251	92	18
252	93	18
382	275	18
382	275	18
366	282	15
366	282	15
401	305	22
403	306	21
366	318	21
366	318	21
147	279	19
147	278	19
330	366	13
331	365	12
338	365	19
337	364	19
284	163	6
285	163	6
frame 2
344	22	7
344	23	7
276	138	10
276	139	10
251	151	7
251	151	7
235	153	6
249	151	7
346	169	8
347	169	7
319	174	14
318	174	14
132	271	4
132	272	4
420	356	9
422	355	9
426	352	10
425	352	10
355	351	14
354	351	14
346	351	11
346	352	11
227	362	4
228	362	3
335	359	14
334	361	13
337	359	18
337	361	18
266	370	8
267	371	7
251	91	19
-2147483648	-2147483648	-2147483648
381	274	18
382	274	17
366	281	15
366	281	15
404	306	22
405	306	21
366	317	20
366	318	20
147	277	20
147	277	20
329	366	13
331	365	12
339	365	20
338	363	20
284	162	6
-2147483648	-2147483648	-2147483648
177	319	7
178	319	7
344	356	11
345	354	11
256	99	18
-2147483648	-2147483648	-2147483648
150	179	14
-2147483648	-2147483648	-2147483648
350	349	19
350	349	19
330	366	16
331	365	16
frame 3
345	22	5
346	22	5
276	139	11
275	138	10
251	151	7
252	151	7
346	169	7
346	169	7
317	173	14
318	174	14
132	272	5
132	273	5
421	356	9
422	356	9
425	351	10
424	353	10
356	344	12
354	346	12
346	351	10
346	351	10
228	361	4
228	362	4
334	360	14
339	359	14
337	358	18
338	360	18
266	370	7
-2147483648	-2147483648	-2147483648
381	274	17
382	274	17
366	281	15
366	281	14
405	306	22
405	305	21
366	317	21
-2147483648	-2147483648	-2147483648
146	277	20
-2147483648	-2147483648	-2147483648
330	366	12
340	358	12
339	364	20
338	362	20
177	319	7
-2147483648	-2147483648	-2147483648
344	356	11
345	354	11
349	349	19
347	348	18
330	366	16
336	362	16
314	178	8
314	178	8
327	195	8
327	196	8
364	260	6
365	261	6
429	345	9
426	352	9
355	352	14
354	351	13
313	369	16
-2147483648	-2147483648	-2147483648
frame 4
345	21	8
345	20	8
275	137	11
274	139	10
253	150	7
254	149	7
346	169	8
346	169	8
318	174	14
318	174	13
132	272	5
132	273	5
421	356	10
423	355	10
425	352	10
424	354	10
356	345	13
354	346	13
345	346	12
346	347	12
227	362	4
227	362	4
382	274	18
382	274	18
366	281	15
366	281	15
405	305	22
405	307	21
338	362	20
338	362	19
344	355	10
345	353	10
345	347	19
345	348	18
313	177	8
314	178	8
327	196	8
327	195	8
364	262	5
-2147483648	-2147483648	-2147483648
355	351	13
354	349	13
253	98	18
253	93	18
231	157	8
233	156	8
346	351	9
346	350	9
frame 5
344	19	8
345	19	8
274	138	10
275	139	10
256	148	7
254	149	7
346	169	8
346	169	8
317	174	13
317	174	13
132	273	4
133	273	4
421	355	9
423	355	9
425	352	11
424	353	11
355	344	13
353	346	13
345	346	12
346	348	11
227	361	4
227	361	4
381	274	18
382	275	18
366	280	15
366	281	15
405	306	22
404	306	21
338	361	19
337	361	19
344	355	11
345	352	10
344	347	17
346	347	17
313	177	8
313	177	8
327	195	8
-2147483648	-2147483648	-2147483648
355	351	15
354	349	15
252	92	18
256	99	17
235	153	6
234	154	6
346	350	10
346	351	10
231	157	8
233	156	7
285	164	6
281	160	6
327	367	13
324	367	13
292	167	13
-2147483648	-2147483648	-2147483648
365	317	20
-2147483648	-2147483648	-2147483648
147	277	20
148	277	20
251	148	7
252	149	7
332	362	15
332	361	15
frame 6
345	19	7
343	18	7
275	138	11
274	137	11
255	149	7
254	148	7
346	169	8
346	169	8
317	173	14
317	173	14
132	273	5
132	273	5
423	353	11
423	353	11
355	345	12
354	345	12
344	346	12
345	347	11
227	361	5
227	361	5
382	274	17
382	274	17
366	281	15
366	281	15
404	306	22
404	306	21
338	360	19
337	359	19
343	355	11
344	353	10
346	346	18
347	347	18
313	177	8
314	177	8
355	351	15
353	350	14
256	100	18
256	99	18
234	153	7
234	153	7
346	350	9
345	350	9
231	158	6
233	155	6
280	158	7
-2147483648	-2147483648	-2147483648
319	370	16
-2147483648	-2147483648	-2147483648
148	277	20
147	277	19
250	148	7
252	148	7
328	361	18
335	360	18
364	261	5
-2147483648	-2147483648	-2147483648
358	338	18
353	345	17
frame 7
343	17	9
343	18	9
274	137	11
275	138	11
256	148	7
253	149	7
345	168	7
345	169	7
317	173	13
317	173	13
132	272	5
132	273	5
422	353	10
422	353	10
355	344	13
355	346	13
344	347	11
345	350	10
227	361	4
227	361	4
381	273	18
381	274	18
366	280	15
366	281	15
404	306	21
405	306	21
337	359	19
337	359	19
344	355	11
344	354	11
346	346	18
346	346	18
314	176	8
315	177	8
355	351	14
354	349	13
256	98	17
257	98	17
233	154	7
234	155	7
146	277	19
146	277	19
251	147	7
252	149	7
326	194	8
317	182	7
120	243	10
-2147483648	-2147483648	-2147483648
430	345	9
430	345	9
frame 8
344	18	9
343	19	8
275	138	10
275	140	10
255	149	7
252	150	7
345	168	8
345	169	7
317	173	14
318	174	14
132	273	5
132	273	5
421	354	10
422	354	10
354	345	13
354	347	12
343	350	9
344	351	9
227	361	4
228	361	4
